time,ca,eadx,easx,iadx,iasx,inlet,radx,rasx,sma
0.45,3.8431622080950043,0.9517276419956887,0.955258685404339,2.9275407416050276,0.6366067013790552,-15.706556628392626,1.2505063274546533,3.2166966186798054,1.9250577374191147
0.455,4.219825002889021,1.0543031602480046,1.0678533470406748,3.0772681593816253,0.7108140757637811,-17.14711389037757,1.3859202976315035,3.489194166403606,2.1419357186185226
0.46,4.607627094035377,1.1626637109957418,1.1853278569299743,3.2375356024051993,0.787755660109092,-18.640424204980285,1.5249641783463237,3.7687319637840138,2.365818178845891
0.465,5.006835584156363,1.2763958358485215,1.3074347954871466,3.4070054580937663,0.8674868461374983,-20.18579018121047,1.668048481395386,4.055774613030008,2.596808605898032
0.47000000000000003,5.404207715962786,1.3925447477994652,1.4307046833348154,3.581513569121957,0.9474602654175968,-21.734173756436036,1.8101081185805046,4.3401586499414915,2.82747605048651
0.47500000000000003,5.792565902833664,1.5090369287168972,1.5529046564828666,3.7575653876907613,1.0262976004390116,-23.257479947524544,1.948689102932342,4.61671941363459,3.053701003521113
0.48,6.1626532005065,1.623340002587858,1.6712813960883586,3.9311027337817896,1.1021802832382104,-24.719886011669345,2.080461296535009,4.878683980130513,3.270183171719662
0.485,6.5076598139801725,1.733314926018212,1.7836372060699441,4.0984836666819024,1.1737294939205676,-26.094080748425498,2.2030494647578194,5.121246543723654,3.4729596884554668
0.49,6.821519915449168,1.8369315773133468,1.887941398867718,4.256258844261805,1.2396849672311712,-27.355371961365712,2.3143407755201935,5.340226829351312,3.6584677125500815
0.495,7.099278133738867,1.932406397563439,1.9824761172920677,4.401408041204728,1.2989793134137289,-28.48320060700435,2.412591446972779,5.532294969875779,3.8237662486957302
0.5,7.338853531630953,2.018552613962143,2.066260701571702,4.531771548312051,1.3510898737313632,-29.46757083479998,2.497158263190716,5.6963528705896485,3.9675314953435934
0.505,7.538789348183826,2.0944215838985136,2.138559782545316,4.645719224001526,1.395612813885069,-30.301182763395598,2.567566096930252,5.83169530939475,4.088818672452958
0.51,7.700027207425193,2.159661482816302,2.1993172357094575,4.7425498997216025,1.4326113146881214,-30.98580773490723,2.6242245219397686,5.93936518874653,4.188050953059228
0.515,7.824901044605527,2.214339652795847,2.2489099015849776,4.822288240978503,1.4624292712528981,-31.52872116668231,2.6680393854887545,6.021356222081675,4.266457519495824
0.52,7.915999889893082,2.2587546499398976,2.2878939962381737,4.885456984321158,1.4854764348258551,-31.93867312225535,2.6999472699553415,6.079700833909397,4.3254431360707875
0.525,7.977552030213082,2.2936634267877434,2.317302056685145,4.933264634604931,1.5025005008068761,-32.230765621411344,2.7215150616107655,6.117614416947417,4.367353566962118
0.53,8.013235921922844,2.3198630356446226,2.33811711571908,4.96710618034993,1.514166126161855,-32.418603335795794,2.7340640197212362,6.137794085383967,4.394256924851783
0.535,8.026756543601817,2.3382691795504273,2.3513936770696207,4.988586184009101,1.521165417546785,-32.51624358638072,2.738917186931616,6.142897240478175,4.408258231231253
0.54,8.021573244650265,2.3498059330654497,2.358146590149988,4.999332703415719,1.5241647858807015,-32.53707275601011,2.7373254162011524,6.135388731619261,4.411335424803443
0.545,7.999954651485304,2.3552096552792214,2.3591214471063306,5.000737672712607,1.523614331432864,-32.490303253775465,2.730073880616578,6.116787813195587,4.404803880777056
0.55,7.964006466952449,2.355179792415903,2.355012114090643,4.994077207066878,1.5199411615871519,-32.3845148687618,2.717909802929946,6.088508928616598,4.3898794683989
0.555,7.9149125662168,2.3502015482194256,2.3462549505085852,4.980290273724297,1.5133985690106713,-32.2248275614632,2.7012444020600084,6.051278073634554,4.367247246599655
0.56,7.853023476741135,2.340566035676311,2.333063708954838,4.959999296328669,1.504076207438999,-32.013171513885084,2.680163260872377,6.005167333010712,4.337112263906995
0.5650000000000001,7.779114288215728,2.3265824757466,2.3157070717155155,4.933734597900759,1.4921406489198616,-31.75273339052591,2.654945111226713,5.950614386898566,4.299894881107623
0.5700000000000001,7.693133355664873,2.308363029017862,2.2942258695104045,4.901717082565849,1.4775920125286293,-31.44353277464432,2.625538223414288,5.8874253151207245,4.255537953469867
0.5750000000000001,7.596107502590969,2.286222715296766,2.26892473060275,4.8643275756059925,1.4606281170213729,-31.089328124859833,2.5922975977465192,5.816239991858931,4.204579960106768
0.58,7.48733656952617,2.260113690305683,2.239651475707567,4.821470290922377,1.4411161900453622,-30.687578413482022,2.5549077442888697,5.73640181037365,4.146580705655993
0.585,7.368586205985082,2.230457738989642,2.206854644695532,4.7735291861764555,1.4193892946821518,-30.244512535937037,2.514024562474532,5.6491940578180335,4.082476912134763
0.59,7.241507821933693,2.197692482382202,2.1709901939126253,4.720935629570535,1.3957575262250626,-29.766080971034928,2.4702252233630344,5.5558133980130515,4.013158762042092
0.595,7.108168781224246,2.1623592879886315,2.1326402375512097,4.664278976819477,1.3706160985654037,-29.259864536163327,2.4242367365869115,5.457798074688767,3.93976640762758
0.6,6.970787866047268,2.125058522196621,2.0924585455650604,4.604278667307806,1.3443961014597199,-28.734157960419804,2.3768285229801536,5.356801451841154,3.8635483466172564
0.605,6.832166601614711,2.086518471307424,2.051261570950788,4.541858366976454,1.3176498568227126,-28.19949094581429,2.3290033443843026,5.254931346394773,3.7861014489617952
0.61,6.694498236800968,2.0473784235604864,2.0097479555101843,4.477908778500391,1.290820246727406,-27.664358614584025,2.2815105385757284,5.153789990663859,3.708704504149583
0.615,6.560183378208237,2.0083243741635872,1.9686744953446125,4.413413042571675,1.2643974900762758,-27.13807787586124,2.235189324274704,5.055131032801731,3.6327647967744117
0.62,6.431040417348905,1.9699300353203022,1.928654608434372,4.349257334778009,1.2387654392212228,-26.627934486726208,2.1906576169907446,4.960256824639682,3.5593722666776744
0.625,6.308049034292441,1.9325988591948904,1.890088976375801,4.286146158573475,1.2141499416704444,-26.138219561589246,2.148210650838708,4.869826352060347,3.4891496437832106
0.63,6.191932646247591,1.8966525340109603,1.8532854771088465,4.224670394927745,1.190729144692281,-25.672243711372634,2.108068369300878,4.7843346540706895,3.4225705447812715
0.635,6.082451281651585,1.8621904522456012,1.8182842036892464,4.165134371641566,1.1684947830426213,-25.22976766249206,2.070091470953491,4.7035588369430865,3.3595623064552393
0.64,5.9788447442940456,1.8291719638877633,1.784966526673243,4.1076313515337395,1.1473345423785997,-24.808551829269454,2.0339545752150174,4.626896120591278,3.299752047945517
0.645,5.8802782310734845,1.7974864312515826,1.7531496396019293,4.052106136417099,1.1271175743250486,-24.405915340232404,1.9993380906792018,4.553726892540103,3.242712388706715
0.65,5.785215814785968,1.7668523005415642,1.7224555270115924,3.9982546135438803,1.1075711749959487,-24.016522402067128,1.9656592147877807,4.482898316224515,3.187615484354928
0.655,5.692621344827872,1.7370450865731537,1.6926014991324905,3.945779189225937,1.0885119095010942,-23.636687798530797,1.9325591138846536,4.413667600640192,3.1339020981777574
0.66,5.601564570296874,1.7078329925634592,1.6633130491920354,3.8943367440458845,1.069770761824201,-23.263019700720985,1.8997484200587462,4.345389986506525,3.081063219250599
0.665,5.51126943194211,1.6790149346408487,1.6343627012645534,3.84360924683105,1.051201799886928,-22.892667426940264,1.8670110244539024,4.277527112565979,3.0286712174615267
0.67,5.422075718382912,1.650601247112473,1.60579510382723,3.7935158217082012,1.0328704953919714,-22.526792344068312,1.8346050911608391,4.210413056787634,2.9769158535832827
0.675,5.334236577935014,1.622612681846448,1.5776591822511201,3.744021425307798,1.0148230688501751,-22.166330890813967,1.8027511506182023,4.14428677875723,2.9259400678253087
0.68,5.248885637307486,1.5952731140913738,1.5502471156183046,3.6953620948664474,0.9972735435497055,-21.81546274176594,1.7720006034569173,4.080039041930021,2.8763816324232288
0.685,5.167934039621084,1.568979490733268,1.5240532141676526,3.6480143060146166,0.9805874599079722,-21.48122181018837,1.7431887343047183,4.019147968870356,2.829316637493012
0.6900000000000001,5.09279597783562,1.5441064312542714,1.4995115103717962,3.602513942250764,0.9650332935439512,-21.168994202611927,1.7168562196276393,3.962618865361067,2.785558002932199
0.6950000000000001,5.024270024707266,1.52089899077219,1.4768811211182769,3.5592620120833844,0.9507740441740518,-20.881928717449544,1.6932754591698056,3.9109947915765675,2.745572313953814
0.7000000000000001,4.9646918128494875,1.4999198706206636,1.4568125016863314,3.519044480571209,0.9382636313748789,-20.628664284501873,1.673257445178657,3.8659846356450345,2.71068994734357
0.705,4.914694834401697,1.4814323886481546,1.4395587593676809,3.4823515741029576,0.9276320617766951,-20.41179662491332,1.6568832409771002,3.8279463705997854,2.6812974346204936
0.71,4.8749344549438165,1.4656867139553498,1.4253573359723888,3.449643104425752,0.9190183310644116,-20.23396215801549,1.644254560445692,3.7972785336471584,2.6577891650595986
0.715,4.845010938425459,1.4527042884740828,1.4141642555431047,3.421092941803221,0.9123612489656244,-20.093975560504596,1.6350882065193757,3.773588743288397,2.6399649769134914
0.72,4.82390111334091,1.4423522600815453,1.405757784115876,3.3966523025249624,0.9074791768818061,-19.988338193503377,1.6288985339121853,3.756029007904788,2.6272680539625495
0.725,4.810286880657794,1.4343843177709232,1.3997998287408175,3.3760735046485593,0.9041334983299196,-19.91236925080522,1.6251491911054443,3.7435770588922517,2.618965009593893
0.73,4.801930404070532,1.4283340274880525,1.3957011085822928,3.3587958584632682,0.9019050462457295,-19.85797410714303,1.6229817458617355,3.734526027511222,2.613799928628549
0.735,4.796857947382772,1.4237340922760409,1.3929030487388692,3.3441838886822177,0.9004208529033474,-19.8178548597176,1.621685912700469,3.7274157479644088,2.610653408630588
0.74,4.792963579541465,1.4200483300450792,1.3907875815749629,3.3314654072622925,0.899277401916559,-19.784111908270173,1.6205274305298425,3.720718539436331,2.6083236773377076
0.745,4.7882107058638494,1.4167366213340595,1.3887510986079388,3.3198291541857112,0.8980770110843361,-19.74901277228779,1.6187978603217412,3.712966683486707,2.605643676548165
0.75,4.781578389942651,1.4134346717188941,1.3864274570730863,3.3086371807244266,0.896612199187855,-19.708400994140934,1.6161972565022658,3.7035042630938384,2.6020096147751994
0.755,4.772112772209491,1.409804910876486,1.3834844352956148,3.297296332512969,0.8946830200479102,-19.65838552375982,1.612429448247831,3.691716103355054,2.5968585490658613
0.76,4.759890505043609,1.405735100492771,1.3798667644144973,3.2854993173018094,0.8922836380214874,-19.598833983917686,1.6075799066281706,3.677770302702047,2.59020849929498
0.765,4.745802926776465,1.4013006857690615,1.3757399142150915,3.2731988783858896,0.8895649137516373,-19.53264286879567,1.6020382264437851,3.6624574249638844,2.582539948581668
0.77,4.730828021152254,1.3966535472662502,1.371337848348193,3.2605103177170114,0.8866944051410972,-19.463194752367574,1.59618651684473,3.6465896565768285,2.5743944839537396
0.775,4.717018937832377,1.3921976638375413,1.3671858518568605,3.247899628808876,0.8840503983348045,-19.39788418663087,1.5908149762870187,3.6317928494493787,2.56692392397039
0.78,4.706293389396696,1.388361049989947,1.3638078466902868,3.235934396999524,0.8819909042234326,-19.343799851120256,1.586639079076308,3.619557187518441,2.5612160246606894
0.785,4.700515597940511,1.3856140140267275,1.361750900844509,3.2252975433065045,0.8808689379316917,-19.308004959838122,1.5843282161249304,3.6112903455880327,2.5583394419538306
0.79,4.701987924196598,1.3845308050178677,1.3616729820132143,3.216827376262857,0.8811300207564311,-19.29923338696265,1.5847335570079568,3.6087384961922733,2.559612271639234
0.795,4.711976599264979,1.3855147418725944,1.3639961958800966,3.211207524841025,0.8830263790201638,-19.32260521972027,1.5882862641487214,3.612817286440018,2.565780274690849
0.8,4.731843742515731,1.3889942466457674,1.369166443176379,3.209156685787385,0.8868338004725365,-19.383611925345942,1.5954623073314487,3.624511264332602,2.577643476787446
0.805,4.762797437091986,1.3953457602187016,1.3775660376308494,3.211316747974035,0.8928043424007965,-19.487160412295935,1.606707122841158,3.6447107584443126,2.5959122436687956
0.81,4.805534544411416,1.4048627263323585,1.3894696145501264,3.2182401931291307,0.9010890555487066,-19.63633476171273,1.6222462762446253,3.6738781777645926,2.6210142149864732
0.8150000000000001,4.8612338421321875,1.417904364494575,1.4052430015211028,3.230523656908449,0.9119350648339607,-19.835882216488404,1.6425248891031976,3.7128768204759,2.6536406306189653
0.8200000000000001,4.930918133924362,1.434798318843014,1.4252146769729603,3.2487202528659376,0.9255569363842172,-20.08996844530244,1.6679238795233307,3.7624403993705444,2.694395892290304
0.8250000000000001,5.016320354230235,1.456023137917893,1.4499013537534533,3.2735589255495903,0.9423018524170996,-20.40531191208439,1.6990899580863272,3.823832723583455,2.7442836496090495
0.8300000000000001,5.120536617574128,1.4823313116400185,1.48015855617082,3.306094729665614,0.9627777313267512,-20.79355144478635,1.7372064555359938,3.8993733101593073,2.8050727776033493
0.835,5.2469117533372565,1.5145856858897297,1.516954466383891,3.347573759134256,0.9876372351542253,-21.26737289691385,1.7835077990713621,3.9915162819363945,2.8786859619729697
0.84,5.4009116148248335,1.5541235703885763,1.5618233585450763,3.399851937885315,1.0179417896507792,-21.84725438797552,1.8400344001429625,4.104320595225985,2.968247167385317
0.845,5.589022206654051,1.602565450901814,1.6166081247973942,3.4652097172537846,1.0549551751342767,-22.55761387179478,1.9091927224642964,4.242585202290892,3.0774753207849095
0.85,5.8185048223743205,1.6618125971027276,1.6834408668172327,3.5463772353136513,1.1000983210287816,-23.426034017406707,1.993628078629698,4.411612574378618,3.2105595732561394
0.855,6.09872524836828,1.7342785233736353,1.76503570105146,3.646769829798555,1.1552155108072475,-24.48801845088189,2.0968003055966005,4.618290135065232,3.37290325159731
0.86,6.438572990558163,1.822426115900271,1.8640901039559148,3.76997612262496,1.2220832728254893,-25.77782285767191,2.2219397333026443,4.869037705745134,3.569696867210259
